reactor_id|plant|unit|field|verdict|confidence|visible|corrected_value|source
5|Armenian|1|rpv_manufacturer|UNVERIFIABLE|LOW|no||ru.wikipedia.org/wiki/Армянская_АЭС lists Izhora Plants among ~100 equipment suppliers but does not specify it as RPV-specific
5|Armenian|1|turbine_supplier|WRONG|MED|no|Not Škoda; Soviet/Kharkiv-lineage — original K-220-44 turbines, later modernized by Turboatom (Kharkiv); exact original 1970s manufacturer unconfirmed|ru.wikipedia.org/wiki/Армянская_АЭС; Škoda VVER-440 turbines are documented for export plants outside the USSR (Paks, Loviisa, Dukovany), not domestic Soviet plants like Armenia
6|Armenian|2|architect_engineer|WRONG|MED|no|Gorky branch of Atomteploelectroproekt (ATEP) Institute|ru.wikipedia.org/wiki/Армянская_АЭС
6|Armenian|2|constructor|UNVERIFIABLE|LOW|no||see Armenian-1
6|Armenian|2|rpv_manufacturer|UNVERIFIABLE|LOW|no||see Armenian-1
6|Armenian|2|turbine_supplier|WRONG|MED|no|Not Škoda; Soviet/Kharkiv-lineage, exact original manufacturer unconfirmed|see Armenian-1
7|Rooppur|1|architect_engineer|UNVERIFIABLE|LOW|no||source names Rosatom/Atomenergomash roles but does not name a design-institute AE (Atomenergoproekt unconfirmed)
7|Rooppur|1|constructor|CONFIRMED|HIGH|yes||en.wikipedia.org/wiki/Rooppur_Nuclear_Power_Plant ("Atomstroyexport serves as the general contractor" under the EPC contract)
7|Rooppur|1|rpv_manufacturer|UNVERIFIABLE|LOW|no||source describes vessel welding underway but does not name fabricator; see NOTES on Izhora vs Atommash split for modern VVER-1200
7|Rooppur|1|turbine_supplier|UNVERIFIABLE|LOW|no||full-text check of Wikipedia article found zero mentions of turbine, Power Machines, LMZ, Skoda, Izhora, or Atommash
8|Rooppur|2|architect_engineer|UNVERIFIABLE|LOW|no||not named in source
8|Rooppur|2|constructor|CONFIRMED|HIGH|yes||en.wikipedia.org/wiki/Rooppur_Nuclear_Power_Plant
8|Rooppur|2|rpv_manufacturer|UNVERIFIABLE|LOW|no||not named in source
8|Rooppur|2|turbine_supplier|UNVERIFIABLE|LOW|no||not mentioned in source
9|Belarusian|1|architect_engineer|UNVERIFIABLE|LOW|no||not directly sourced this session
9|Belarusian|1|constructor|UNVERIFIABLE|LOW|no||not directly sourced this session
9|Belarusian|1|rpv_manufacturer|WRONG|HIGH|no|JSC Atomenergomash / Atommash (Volgodonsk)|en.wikipedia.org/wiki/AEM-Technologies ("the first nuclear reactor produced by Atommash after a 29-year long hiatus was a VVER-1200, for the Belarusian nuclear power plant" — not Izhora Plants)
9|Belarusian|1|turbine_supplier|UNVERIFIABLE|LOW|no||not directly sourced this session
10|Belarusian|2|architect_engineer|UNVERIFIABLE|LOW|no||not directly sourced this session
10|Belarusian|2|constructor|UNVERIFIABLE|LOW|no||not directly sourced this session
10|Belarusian|2|rpv_manufacturer|WRONG|HIGH|no|JSC Atomenergomash / Atommash (Volgodonsk)|en.wikipedia.org/wiki/AEM-Technologies (same finding as unit 1; both units built from the same production run)
10|Belarusian|2|turbine_supplier|UNVERIFIABLE|LOW|no||not directly sourced this session
11|BR-3|1|architect_engineer|UNVERIFIABLE|LOW|no||no source found separating an AE role from the reactor vendor
11|BR-3|1|constructor|CONFIRMED|HIGH|yes||en.wikipedia.org "BR3 reactor" — first reactor exported by Westinghouse Electric
11|BR-3|1|rpv_manufacturer|UNVERIFIABLE|LOW|no||no source found (Westinghouse plausible but not confirmed)
11|BR-3|1|turbine_supplier|UNVERIFIABLE|LOW|no||no source found
12|Doel|1|architect_engineer|CONFIRMED|HIGH|yes||en/nl.wikipedia.org — Tractebel designed the plant
12|Doel|1|constructor|CONFIRMED|HIGH|yes||en/fr/nl.wikipedia.org "Doel Nuclear Power Station" — ACECOWEN consortium (ACEC-Cockerill-Westinghouse), confirmed as a real, documented consortium name across three language editions
12|Doel|1|rpv_manufacturer|UNVERIFIABLE|LOW|no||no source found for Doel 1 vessel maker specifically ("Cockerill" unconfirmed)
12|Doel|1|turbine_supplier|UNVERIFIABLE|LOW|no||no source separately confirms a turbine supplier distinct from the reactor consortium; suspected instance of NSSS/consortium name bleeding into this field (see NOTES)
13|Doel|2|architect_engineer|CONFIRMED|HIGH|yes||en/nl.wikipedia.org — Tractebel
13|Doel|2|constructor|CONFIRMED|HIGH|yes||en/fr/nl.wikipedia.org — ACECOWEN
13|Doel|2|rpv_manufacturer|UNVERIFIABLE|LOW|no||no source found
13|Doel|2|turbine_supplier|UNVERIFIABLE|LOW|no||no source found
14|Doel|3|architect_engineer|CONFIRMED|HIGH|yes||en/nl.wikipedia.org — Tractebel
14|Doel|3|constructor|CONFIRMED|HIGH|yes||en.wikipedia.org table — "FRAMACEC"; fr.wikipedia.org uses spelling "FRAMACECO" (Framatome-Acec-Cockerill), same company composition, minor spelling variance across sources
14|Doel|3|rpv_manufacturer|CONFIRMED|HIGH|yes||en/fr/nl.wikipedia.org — vessel forged by Rotterdamsche Droogdok Maatschappij (RDM), central to the 2012/2014 vessel hydrogen-flaw incident
14|Doel|3|turbine_supplier|UNVERIFIABLE|LOW|no||no source found
15|Doel|4|architect_engineer|CONFIRMED|HIGH|yes||en/nl.wikipedia.org — Tractebel
15|Doel|4|constructor|CONFIRMED|HIGH|yes||en/fr/nl.wikipedia.org — ACECOWEN
15|Doel|4|rpv_manufacturer|UNVERIFIABLE|LOW|no||no source found ("Cockerill" unconfirmed)
15|Doel|4|turbine_supplier|UNVERIFIABLE|LOW|no||no source found
16|Tihange|1|architect_engineer|CONFIRMED|HIGH|yes||nl.wikipedia.org "Kerncentrale Tihange" — plant design outsourced to Tractebel
16|Tihange|1|constructor|CONFIRMED|MED|yes||en.wikipedia.org table — "ACLF (ACECOWEN-Creusot-Loire-Framatome)"; only source found for this expansion, fr/nl Wikipedia did not spell out the acronym
16|Tihange|1|rpv_manufacturer|UNVERIFIABLE|LOW|no||no source found ("Framatome" unconfirmed)
16|Tihange|1|turbine_supplier|UNVERIFIABLE|LOW|no||no source found
17|Tihange|2|architect_engineer|CONFIRMED|HIGH|yes||nl.wikipedia.org — Tractebel
17|Tihange|2|constructor|CONFIRMED|HIGH|yes||en.wikipedia.org table (FRAMACEC); fr.wikipedia.org text references same consortium composition
17|Tihange|2|rpv_manufacturer|CONFIRMED|HIGH|yes||en/nl/fr.wikipedia.org — vessel forged by Rotterdamsche Droogdok Maatschappij (RDM), sister vessel to Doel 3, both flagged in the 2012/2014 incident
17|Tihange|2|turbine_supplier|UNVERIFIABLE|LOW|no||no source found
18|Tihange|3|architect_engineer|CONFIRMED|HIGH|yes||nl.wikipedia.org — Tractebel
18|Tihange|3|constructor|CONFIRMED|HIGH|yes||en.wikipedia.org table (ACECOWEN); fr.wikipedia.org confirms Tihange 3 supplied by Westinghouse, consistent with ACECOWEN membership
18|Tihange|3|rpv_manufacturer|UNVERIFIABLE|LOW|no||no source found ("Cockerill" unconfirmed)
18|Tihange|3|turbine_supplier|UNVERIFIABLE|LOW|no||no source found
19|Angra|1|architect_engineer|WRONG|HIGH|no|Gibbs and Hill (USA) in association with PROMON Engenharia S.A.|en.wikipedia.org/wiki/Angra_Nuclear_Power_Plant ("Balance of Plant Design: Gibbs and Hill... in association with PROMON Engenharia S.A." — not Westinghouse)
19|Angra|1|constructor|CONFIRMED|HIGH|yes||en.wikipedia.org/wiki/Angra_Nuclear_Power_Plant ("Angra I was purchased from Westinghouse of the USA")
19|Angra|1|rpv_manufacturer|UNVERIFIABLE|LOW|no||not specified in source
19|Angra|1|turbine_supplier|UNVERIFIABLE|LOW|no||not specified in source
20|Angra|2|architect_engineer|CONFIRMED|MED|yes||en.wikipedia.org/wiki/Angra_Nuclear_Power_Plant (vertically-integrated KWU turnkey assumed; no distinct AE firm named)
20|Angra|2|constructor|CONFIRMED|MED|yes||en.wikipedia.org/wiki/Angra_Nuclear_Power_Plant (Pre-Konvoi German KWU/Siemens technology per 1975 bilateral agreement)
20|Angra|2|rpv_manufacturer|UNVERIFIABLE|LOW|no||Rotterdam Dockyard (RDM) claim is plausible — RDM fabricated RPVs for other KWU-design plants (e.g., Borssele) — but not confirmed for Angra 2 in sources checked
20|Angra|2|turbine_supplier|UNVERIFIABLE|LOW|no||not specified in source
21|Angra|3|architect_engineer|CONFIRMED|MED|yes||same reasoning as Angra 2 (equipment originally fabricated in the 1980s for the same KWU program)
21|Angra|3|constructor|CONFIRMED|MED|yes||en.wikipedia.org/wiki/Angra_Nuclear_Power_Plant ("Siemens/KWU pressurized water reactor" per Future Developments section)
21|Angra|3|rpv_manufacturer|UNVERIFIABLE|LOW|no||RDM claim plausible but unconfirmed, same as Angra 2
21|Angra|3|turbine_supplier|UNVERIFIABLE|LOW|no||not specified in source
22|Kozloduy|1|architect_engineer|UNVERIFIABLE|LOW|no||Same as above
22|Kozloduy|1|constructor|UNVERIFIABLE|LOW|no||Bulgarian Wikipedia and WNA Bulgaria profile do not name unit-level contractors for units 1-4
22|Kozloduy|1|rpv_manufacturer|UNVERIFIABLE|LOW|no||Not confirmed; WNA Bulgaria profile notes Skoda built the RPV for the never-completed Belene-1 project (1989), establishing Skoda's VVER-320-class capability historically but not confirming Kozloduy specifically
22|Kozloduy|1|turbine_supplier|UNVERIFIABLE|LOW|no||No corroboration found distinguishing Skoda vs. Kharkiv Turbine Works/LMZ for V-230 units
23|Kozloduy|2|architect_engineer|UNVERIFIABLE|LOW|no||Same as Unit 1
23|Kozloduy|2|constructor|UNVERIFIABLE|LOW|no||Same as Unit 1
23|Kozloduy|2|rpv_manufacturer|UNVERIFIABLE|LOW|no||Same as Unit 1
23|Kozloduy|2|turbine_supplier|UNVERIFIABLE|LOW|no||Same as Unit 1
24|Kozloduy|3|architect_engineer|UNVERIFIABLE|LOW|no||Same as Unit 1
24|Kozloduy|3|constructor|UNVERIFIABLE|LOW|no||Same as Unit 1
24|Kozloduy|3|rpv_manufacturer|UNVERIFIABLE|LOW|no||Same as Unit 1
24|Kozloduy|3|turbine_supplier|UNVERIFIABLE|LOW|no||Same as Unit 1
25|Kozloduy|4|architect_engineer|UNVERIFIABLE|LOW|no||Same as Unit 1
25|Kozloduy|4|constructor|UNVERIFIABLE|LOW|no||Same as Unit 1
25|Kozloduy|4|rpv_manufacturer|UNVERIFIABLE|LOW|no||Same as Unit 1
25|Kozloduy|4|turbine_supplier|UNVERIFIABLE|LOW|no||Same as Unit 1
26|Kozloduy|5|architect_engineer|UNVERIFIABLE|LOW|no||Ambiguous whether the Parsons/WorleyParsons reference applies to Kozloduy 5/6 or only Belene; not confirmed
26|Kozloduy|5|constructor|UNVERIFIABLE|LOW|no||WNA Bulgaria profile names "Parsons E&C Europe (now WorleyParsons)" as AE for the later Belene-era project only, not confirmed applicable to Kozloduy 5/6
26|Kozloduy|5|rpv_manufacturer|UNVERIFIABLE|LOW|no||Not confirmed
26|Kozloduy|5|turbine_supplier|UNVERIFIABLE|LOW|no||Could not distinguish Skoda vs. Russian LMZ/Power Machines supply for this V-320 unit
27|Kozloduy|6|architect_engineer|UNVERIFIABLE|LOW|no||Same as Unit 5
27|Kozloduy|6|constructor|UNVERIFIABLE|LOW|no||Same as Unit 5
27|Kozloduy|6|rpv_manufacturer|UNVERIFIABLE|LOW|no||Same as Unit 5
27|Kozloduy|6|turbine_supplier|UNVERIFIABLE|LOW|no||WNA Bulgaria profile notes only a 2020s turbine-generator refurbishment contract with Rusatom Services — not confirmation of the original OEM
28|Bruce|1|architect_engineer|UNVERIFIABLE|-|no||-
28|Bruce|1|constructor|WRONG|HIGH|no|Ontario Hydro|Wikipedia: Bruce Nuclear Generating Station ("constructed in stages between 1970 and 1987 by the provincial Crown corporation, Ontario Hydro"; AECL was reactor supplier, not constructor)
28|Bruce|1|rpv_manufacturer|CONFIRMED|HIGH|yes||Wikipedia: Bruce Nuclear Generating Station (calandria design confirmed, e.g. 1986 fuel-channel failure swept fuel into "the moderator (calandria)"; CANDU PHWR has no RPV)
28|Bruce|1|turbine_supplier|UNVERIFIABLE|-|no||-
29|Bruce|2|architect_engineer|UNVERIFIABLE|-|no||-
29|Bruce|2|constructor|WRONG|HIGH|no|Ontario Hydro|Wikipedia: Bruce Nuclear Generating Station
29|Bruce|2|rpv_manufacturer|CONFIRMED|HIGH|yes||Wikipedia: Bruce Nuclear Generating Station
29|Bruce|2|turbine_supplier|UNVERIFIABLE|-|no||-
30|Bruce|3|architect_engineer|UNVERIFIABLE|-|no||-
30|Bruce|3|constructor|WRONG|HIGH|no|Ontario Hydro|Wikipedia: Bruce Nuclear Generating Station
30|Bruce|3|rpv_manufacturer|CONFIRMED|HIGH|yes||Wikipedia: Bruce Nuclear Generating Station
30|Bruce|3|turbine_supplier|UNVERIFIABLE|-|no||-
31|Bruce|4|architect_engineer|UNVERIFIABLE|-|no||-
31|Bruce|4|constructor|WRONG|HIGH|no|Ontario Hydro|Wikipedia: Bruce Nuclear Generating Station
31|Bruce|4|rpv_manufacturer|CONFIRMED|HIGH|yes||Wikipedia: Bruce Nuclear Generating Station
31|Bruce|4|turbine_supplier|UNVERIFIABLE|-|no||-
32|Bruce|5|architect_engineer|UNVERIFIABLE|-|no||-
32|Bruce|5|constructor|WRONG|HIGH|no|Ontario Hydro|Wikipedia: Bruce Nuclear Generating Station
32|Bruce|5|rpv_manufacturer|CONFIRMED|HIGH|yes||Wikipedia: Bruce Nuclear Generating Station
32|Bruce|5|turbine_supplier|UNVERIFIABLE|-|no||-
33|Bruce|6|architect_engineer|UNVERIFIABLE|-|no||-
33|Bruce|6|constructor|WRONG|HIGH|no|Ontario Hydro|Wikipedia: Bruce Nuclear Generating Station
33|Bruce|6|rpv_manufacturer|CONFIRMED|HIGH|yes||Wikipedia: Bruce Nuclear Generating Station
33|Bruce|6|turbine_supplier|UNVERIFIABLE|-|no||-
34|Bruce|7|architect_engineer|UNVERIFIABLE|-|no||-
34|Bruce|7|constructor|WRONG|HIGH|no|Ontario Hydro|Wikipedia: Bruce Nuclear Generating Station
34|Bruce|7|rpv_manufacturer|CONFIRMED|HIGH|yes||Wikipedia: Bruce Nuclear Generating Station
34|Bruce|7|turbine_supplier|UNVERIFIABLE|-|no||-
35|Bruce|8|architect_engineer|UNVERIFIABLE|-|no||-
35|Bruce|8|constructor|WRONG|HIGH|no|Ontario Hydro|Wikipedia: Bruce Nuclear Generating Station
35|Bruce|8|rpv_manufacturer|CONFIRMED|HIGH|yes||Wikipedia: Bruce Nuclear Generating Station
35|Bruce|8|turbine_supplier|UNVERIFIABLE|-|no||-
36|Darlington|1|architect_engineer|UNVERIFIABLE|-|no||-
36|Darlington|1|constructor|WRONG|HIGH|no|Ontario Hydro|Wikipedia: Darlington Nuclear Generating Station (built 1981-1993, predates 1999 Ontario Hydro/OPG split; AECL listed only as reactor supplier)
36|Darlington|1|rpv_manufacturer|CONFIRMED|HIGH|yes||Wikipedia: Darlington Nuclear Generating Station (CANDU PHWR, calandria design, no RPV)
36|Darlington|1|turbine_supplier|UNVERIFIABLE|-|no||-
37|Darlington|2|architect_engineer|UNVERIFIABLE|-|no||-
37|Darlington|2|constructor|WRONG|HIGH|no|Ontario Hydro|Wikipedia: Darlington Nuclear Generating Station
37|Darlington|2|rpv_manufacturer|CONFIRMED|HIGH|yes||Wikipedia: Darlington Nuclear Generating Station
37|Darlington|2|turbine_supplier|UNVERIFIABLE|-|no||-
38|Darlington|3|architect_engineer|UNVERIFIABLE|-|no||-
38|Darlington|3|constructor|WRONG|HIGH|no|Ontario Hydro|Wikipedia: Darlington Nuclear Generating Station
38|Darlington|3|rpv_manufacturer|CONFIRMED|HIGH|yes||Wikipedia: Darlington Nuclear Generating Station
38|Darlington|3|turbine_supplier|UNVERIFIABLE|-|no||-
39|Darlington|4|architect_engineer|UNVERIFIABLE|-|no||-
39|Darlington|4|constructor|WRONG|HIGH|no|Ontario Hydro|Wikipedia: Darlington Nuclear Generating Station
39|Darlington|4|rpv_manufacturer|CONFIRMED|HIGH|yes||Wikipedia: Darlington Nuclear Generating Station
39|Darlington|4|turbine_supplier|UNVERIFIABLE|-|no||-
40|Douglas Point|1|architect_engineer|CONFIRMED|MED|yes||Same source — no separate architect-engineer entity is mentioned; AECL is described as sole project sponsor/builder, consistent with AECL also serving the AE role (unlike the commercial Ontario Hydro stations)
40|Douglas Point|1|constructor|CONFIRMED|HIGH|yes||Wikipedia: Douglas Point Nuclear Generating Station ("built and owned by Atomic Energy of Canada Limited (AECL) but operated by Ontario Hydro")
40|Douglas Point|1|rpv_manufacturer|CONFIRMED|HIGH|yes||Wikipedia: Douglas Point (explicit calandria description: stainless steel calandria, 54.4 tonnes, 6.1m diameter, manufactured by Dominion Bridge Company — a calandria, not an RPV, consistent with "(none)")
40|Douglas Point|1|turbine_supplier|UNVERIFIABLE|-|no||-
41|Gentilly|1|architect_engineer|UNVERIFIABLE|-|no||-
41|Gentilly|1|constructor|UNVERIFIABLE|-|no||-
41|Gentilly|1|rpv_manufacturer|CONFIRMED|MED|yes||Wikipedia: Gentilly Nuclear Generating Station (Gentilly-1 = CANDU-BWR/CANDU-BLW prototype based on SGHWR design, vertical pressure tubes, light-water coolant; CANDU-family design uses a calandria/heavy-water moderator tank rather than a pressure vessel — article does not explicitly use the word "calandria" for this unit, hence MED not HIGH)
41|Gentilly|1|turbine_supplier|UNVERIFIABLE|-|no||-
42|Gentilly|2|architect_engineer|UNVERIFIABLE|-|no||-
42|Gentilly|2|constructor|UNVERIFIABLE|-|no||-
42|Gentilly|2|rpv_manufacturer|CONFIRMED|HIGH|yes||Wikipedia: Gentilly Nuclear Generating Station (Gentilly-2 = CANDU PHWR/CANDU 6, standard calandria design, no RPV)
42|Gentilly|2|turbine_supplier|UNVERIFIABLE|-|no||-
43|Pickering|1|architect_engineer|UNVERIFIABLE|-|no||-
43|Pickering|1|constructor|WRONG|HIGH|no|Ontario Hydro|Wikipedia: Pickering Nuclear Generating Station ("constructed in stages between 1965 and 1986 by the provincial Crown corporation, Ontario Hydro")
43|Pickering|1|rpv_manufacturer|CONFIRMED|HIGH|yes||Wikipedia: Pickering Nuclear Generating Station (CANDU-500, calandria design, no RPV)
43|Pickering|1|turbine_supplier|UNVERIFIABLE|-|no||-
44|Pickering|2|architect_engineer|UNVERIFIABLE|-|no||-
44|Pickering|2|constructor|WRONG|HIGH|no|Ontario Hydro|Wikipedia: Pickering Nuclear Generating Station
44|Pickering|2|rpv_manufacturer|CONFIRMED|HIGH|yes||Wikipedia: Pickering Nuclear Generating Station
44|Pickering|2|turbine_supplier|UNVERIFIABLE|-|no||-
45|Pickering|3|architect_engineer|UNVERIFIABLE|-|no||-
45|Pickering|3|constructor|WRONG|HIGH|no|Ontario Hydro|Wikipedia: Pickering Nuclear Generating Station
45|Pickering|3|rpv_manufacturer|CONFIRMED|HIGH|yes||Wikipedia: Pickering Nuclear Generating Station
45|Pickering|3|turbine_supplier|UNVERIFIABLE|-|no||-
46|Pickering|4|architect_engineer|UNVERIFIABLE|-|no||-
46|Pickering|4|constructor|WRONG|HIGH|no|Ontario Hydro|Wikipedia: Pickering Nuclear Generating Station
46|Pickering|4|rpv_manufacturer|CONFIRMED|HIGH|yes||Wikipedia: Pickering Nuclear Generating Station
46|Pickering|4|turbine_supplier|UNVERIFIABLE|-|no||-
47|Pickering|5|architect_engineer|UNVERIFIABLE|-|no||-
47|Pickering|5|constructor|WRONG|HIGH|no|Ontario Hydro|Wikipedia: Pickering Nuclear Generating Station
47|Pickering|5|rpv_manufacturer|CONFIRMED|HIGH|yes||Wikipedia: Pickering Nuclear Generating Station
47|Pickering|5|turbine_supplier|UNVERIFIABLE|-|no||-
48|Pickering|6|architect_engineer|UNVERIFIABLE|-|no||-
48|Pickering|6|constructor|WRONG|HIGH|no|Ontario Hydro|Wikipedia: Pickering Nuclear Generating Station
48|Pickering|6|rpv_manufacturer|CONFIRMED|HIGH|yes||Wikipedia: Pickering Nuclear Generating Station
48|Pickering|6|turbine_supplier|UNVERIFIABLE|-|no||-
49|Pickering|7|architect_engineer|UNVERIFIABLE|-|no||-
49|Pickering|7|constructor|WRONG|HIGH|no|Ontario Hydro|Wikipedia: Pickering Nuclear Generating Station
49|Pickering|7|rpv_manufacturer|CONFIRMED|HIGH|yes||Wikipedia: Pickering Nuclear Generating Station
49|Pickering|7|turbine_supplier|UNVERIFIABLE|-|no||-
50|Pickering|8|architect_engineer|UNVERIFIABLE|-|no||-
50|Pickering|8|constructor|WRONG|HIGH|no|Ontario Hydro|Wikipedia: Pickering Nuclear Generating Station
50|Pickering|8|rpv_manufacturer|CONFIRMED|HIGH|yes||Wikipedia: Pickering Nuclear Generating Station
50|Pickering|8|turbine_supplier|UNVERIFIABLE|-|no||-
51|Point Lepreau|1|architect_engineer|UNVERIFIABLE|-|no||-
51|Point Lepreau|1|constructor|WRONG|HIGH|no|NB Power|Wikipedia: Point Lepreau Nuclear Generating Station ("constructed between 1975 and 1983 by NB Power, the provincially owned public utility"; AECL supplied only the reactor)
51|Point Lepreau|1|rpv_manufacturer|CONFIRMED|HIGH|yes||Wikipedia: Point Lepreau (CANDU 6/CANDU C6, calandria design, no RPV)
51|Point Lepreau|1|turbine_supplier|UNVERIFIABLE|-|no||-
52|Rolphton NPD|1|architect_engineer|CONFIRMED|MED|yes||Same source — AECL is the named technical/design partner and facility owner; no separate AE firm is mentioned
52|Rolphton NPD|1|constructor|WRONG|HIGH|no|Canadian General Electric (in partnership with AECL, which owned the facility; Ontario Hydro/HEPCO operated it)|Wikipedia: Nuclear Power Demonstration ("Built by Canadian General Electric (now GE Canada), in partnership with Atomic Energy of Canada Limited (AECL)")
52|Rolphton NPD|1|rpv_manufacturer|CONFIRMED|HIGH|yes||Wikipedia: Nuclear Power Demonstration ("a low-pressure calandria vessel, and on-line refueling" with horizontal pressure tubes — no RPV)
52|Rolphton NPD|1|turbine_supplier|CONFIRMED|MED|yes||Wikipedia: Nuclear Power Demonstration — Canadian General Electric ("now GE Canada") built the station as a turbine/generator manufacturer; original value "GE Canada" is directionally consistent with CGE's identity, though the source does not explicitly separate a turbine-supply role from general construction
53|CEFR|1|architect_engineer|WRONG|MED|no|Russian design consortium (OKBM Afrikantov et al.) in collaboration with CIAE; not CNPE|Wikipedia: China Experimental Fast Reactor
53|CEFR|1|constructor|WRONG|MED|no|Built with Russian assistance (OKBM Afrikantov, OKB Gidropress, NIKIET, Kurchatov Institute) at CIAE; not CNNC/CNPE|Wikipedia: China Experimental Fast Reactor
53|CEFR|1|rpv_manufacturer|CONFIRMED|MED|yes|None|Pool-type sodium fast reactor has no conventional RPV
53|CEFR|1|turbine_supplier|UNVERIFIABLE|LOW|no||No source found
54|CFR|1|architect_engineer|UNVERIFIABLE|LOW|no||CNNC confirmed as designer broadly; CNPE specifically not named in any source found
54|CFR|1|constructor|UNVERIFIABLE|LOW|no||CNNC confirmed as overall developer of CFR-600, but no specific EPC/civil-works contractor named
54|CFR|1|rpv_manufacturer|CONFIRMED|MED|yes|None|Sodium-cooled pool-type fast reactor, no conventional RPV
54|CFR|1|turbine_supplier|UNVERIFIABLE|LOW|no||No source found
55|CFR|2|architect_engineer|UNVERIFIABLE|LOW|no||Same as Unit 1
55|CFR|2|constructor|UNVERIFIABLE|LOW|no||Same as Unit 1 (same project/site)
55|CFR|2|rpv_manufacturer|CONFIRMED|MED|yes|None|Same as Unit 1
55|CFR|2|turbine_supplier|UNVERIFIABLE|LOW|no||Same as Unit 1
56|Changjiang|1|architect_engineer|UNVERIFIABLE|LOW|no||No source found
56|Changjiang|1|constructor|UNVERIFIABLE|LOW|no||Wikipedia confirms CNNC + China Huaneng as owners but no EPC contractor named distinct from ownership
56|Changjiang|1|rpv_manufacturer|UNVERIFIABLE|LOW|no||No source found
56|Changjiang|1|turbine_supplier|UNVERIFIABLE|LOW|no||No source found
57|Changjiang|2|architect_engineer|UNVERIFIABLE|LOW|no||Same as Unit 1
57|Changjiang|2|constructor|UNVERIFIABLE|LOW|no||Same as Unit 1
57|Changjiang|2|rpv_manufacturer|UNVERIFIABLE|LOW|no||Same as Unit 1
57|Changjiang|2|turbine_supplier|UNVERIFIABLE|LOW|no||Same as Unit 1
58|Daya Bay|1|architect_engineer|WRONG|MED|no|EDF (Électricité de France); "CNPEC" appears anachronistic (CNPEC/CGN entities postdate Daya Bay's 1980s construction)|WNA China country profile: "Architect Engineer: EDF managed the construction process"
58|Daya Bay|1|constructor|CONFIRMED|HIGH|yes|Framatome|Wikipedia: Daya Bay Nuclear Power Plant; WNA China country profile
58|Daya Bay|1|rpv_manufacturer|UNVERIFIABLE|LOW|no||No Daya-Bay-specific RPV fabrication source found (Framatome as overall constructor is not the same claim as naming the RPV forge/entity)
58|Daya Bay|1|turbine_supplier|CONFIRMED|HIGH|yes|Alstom (GEC Alsthom, the entity's name at time of construction 1987-1994)|WNA China country profile: "Turbine Generator Supplier: GEC-Alstom"
59|Daya Bay|2|architect_engineer|WRONG|MED|no|EDF; "CNPEC" anachronistic|Same as Unit 1
